unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1574726400,11/26/2019 0:00,XRP/USD,0.21779,0.22191,0.21366,0.22088,45113497.14,9964669.249
1574640000,11/25/2019 0:00,XRP/USD,0.22025,0.2255,0.20041,0.21744,93062811.16,20235577.66
1574553600,11/24/2019 0:00,XRP/USD,0.23439,0.2351,0.21867,0.2207,41371127.49,9130607.837
1574467200,11/23/2019 0:00,XRP/USD,0.23047,0.2357,0.22595,0.23426,45713155.77,10708763.87
1574380800,11/22/2019 0:00,XRP/USD,0.24297,0.24565,0.22201,0.23037,59097670.66,13614330.39
1574294400,11/21/2019 0:00,XRP/USD,0.24989,0.253,0.235,0.24297,36876282.86,8959830.446
1574208000,11/20/2019 0:00,XRP/USD,0.25368,0.25843,0.24767,0.24987,27478211.94,6865980.818
1574121600,11/19/2019 0:00,XRP/USD,0.25114,0.25624,0.24253,0.25367,33344867.32,8458592.492
1574035200,11/18/2019 0:00,XRP/USD,0.26314,0.26324,0.23981,0.25159,33455297.43,8417018.281
1573948800,11/17/2019 0:00,XRP/USD,0.26194,0.26624,0.25905,0.26314,21511661.37,5660578.572
1573862400,11/16/2019 0:00,XRP/USD,0.26019,0.26428,0.25895,0.26193,19835139.14,5195417.994
1573776000,11/15/2019 0:00,XRP/USD,0.26745,0.26909,0.25166,0.26013,32523962.84,8460458.452
1573689600,11/14/2019 0:00,XRP/USD,0.27146,0.27228,0.26301,0.26754,30483110.31,8155451.332
1573603200,11/13/2019 0:00,XRP/USD,0.27231,0.27547,0.26999,0.27147,24752801.19,6719642.939
1573516800,11/12/2019 0:00,XRP/USD,0.27401,0.27604,0.26669,0.272,28730342.13,7814653.059
1573430400,11/11/2019 0:00,XRP/USD,0.27886,0.28077,0.26901,0.27397,25932007.63,7104592.131
1573344000,11/10/2019 0:00,XRP/USD,0.28003,0.28434,0.27651,0.27905,30375452.6,8476270.048
1573257600,11/9/2019 0:00,XRP/USD,0.2752,0.28122,0.27419,0.27973,20018415.64,5599751.406
1573171200,11/8/2019 0:00,XRP/USD,0.29035,0.2905,0.2703,0.27502,63284155.36,17404408.41
1573084800,11/7/2019 0:00,XRP/USD,0.31044,0.31503,0.274,0.29009,47357038.81,13737803.39
1572998400,11/6/2019 0:00,XRP/USD,0.30105,0.31306,0.29727,0.31037,28818294.38,8944334.027
1572912000,11/5/2019 0:00,XRP/USD,0.29966,0.305,0.29524,0.3011,34242940.46,10310549.37
1572825600,11/4/2019 0:00,XRP/USD,0.29061,0.30055,0.28934,0.29906,24682208.61,7381461.307
1572739200,11/3/2019 0:00,XRP/USD,0.29585,0.29624,0.28868,0.29033,20043367.61,5819190.918
1572652800,11/2/2019 0:00,XRP/USD,0.2929,0.29822,0.2918,0.29454,21399407.35,6302981.44
1572566400,11/1/2019 0:00,XRP/USD,0.29506,0.2952,0.28486,0.29203,23220391.04,6781050.795
1572480000,10/31/2019 0:00,XRP/USD,0.29548,0.2989,0.2885,0.29464,28069231.78,8270318.453
1572393600,10/30/2019 0:00,XRP/USD,0.30243,0.30651,0.29045,0.295,35278259.12,10407086.44
1572307200,10/29/2019 0:00,XRP/USD,0.29523,0.30986,0.29454,0.30243,30903749.98,9346221.108
1572220800,10/28/2019 0:00,XRP/USD,0.29937,0.30549,0.29398,0.29485,37405992.16,11029156.79
1572134400,10/27/2019 0:00,XRP/USD,0.29496,0.30302,0.29027,0.29924,37238169.46,11143149.83
1572048000,10/26/2019 0:00,XRP/USD,0.29864,0.31491,0.284,0.29496,72474244.52,21377003.16
1571961600,10/25/2019 0:00,XRP/USD,0.27663,0.30837,0.27427,0.29849,56184027.67,16770370.42
1571875200,10/24/2019 0:00,XRP/USD,0.27293,0.28073,0.26678,0.2765,30750669.07,8502559.999
1571788800,10/23/2019 0:00,XRP/USD,0.2904,0.29142,0.24715,0.27362,65149152.8,17826111.19
1571702400,10/22/2019 0:00,XRP/USD,0.29229,0.30301,0.2889,0.29065,34705949.57,10087284.24
1571616000,10/21/2019 0:00,XRP/USD,0.29428,0.2944,0.28861,0.29274,22991889.99,6730645.876
1571529600,10/20/2019 0:00,XRP/USD,0.29208,0.2968,0.28116,0.29456,39009053.99,11490506.94
1571443200,10/19/2019 0:00,XRP/USD,0.29424,0.2997,0.28715,0.29167,30111748.9,8782693.801
1571356800,10/18/2019 0:00,XRP/USD,0.3021,0.30233,0.28446,0.29406,32016680.46,9414825.055
1571270400,10/17/2019 0:00,XRP/USD,0.28357,0.30368,0.28,0.30182,37749657.81,11393601.72
1571184000,10/16/2019 0:00,XRP/USD,0.2883,0.292,0.27845,0.28368,33415446.53,9479293.871
1571097600,10/15/2019 0:00,XRP/USD,0.29786,0.29933,0.28278,0.28828,34157218.75,9846843.021
1571011200,10/14/2019 0:00,XRP/USD,0.27762,0.29815,0.27675,0.29751,35534364.56,10571828.8
1570924800,10/13/2019 0:00,XRP/USD,0.27213,0.28205,0.2716,0.27766,19761299.98,5486922.553
1570838400,10/12/2019 0:00,XRP/USD,0.26773,0.27711,0.26773,0.2728,18299239.79,4992032.615
1570752000,10/11/2019 0:00,XRP/USD,0.2712,0.276,0.26496,0.26769,25459499.88,6815253.523
1570665600,10/10/2019 0:00,XRP/USD,0.28195,0.28254,0.26559,0.27093,31456856.86,8522606.229
1570579200,10/9/2019 0:00,XRP/USD,0.27765,0.28778,0.27364,0.2816,37404745.29,10533176.27
1570492800,10/8/2019 0:00,XRP/USD,0.27641,0.2861,0.27109,0.27773,29866483.28,8294818.401
1570406400,10/7/2019 0:00,XRP/USD,0.25574,0.28154,0.25341,0.2764,56390553.74,15586349.05
1570320000,10/6/2019 0:00,XRP/USD,0.25389,0.25663,0.251,0.25473,26623054.06,6781690.56
1570233600,10/5/2019 0:00,XRP/USD,0.25258,0.25667,0.24705,0.25382,23127726.44,5870279.526
1570147200,10/4/2019 0:00,XRP/USD,0.24747,0.25687,0.24428,0.25307,31448257.88,7958610.622
1570060800,10/3/2019 0:00,XRP/USD,0.2534,0.25383,0.24197,0.24684,28859100.2,7123580.294
1569974400,10/2/2019 0:00,XRP/USD,0.24837,0.255,0.24465,0.25319,55174975.33,13969752
1569888000,10/1/2019 0:00,XRP/USD,0.25726,0.26112,0.24491,0.24837,49260849.75,12234917.25
1569801600,9/30/2019 0:00,XRP/USD,0.24057,0.26181,0.2353,0.257,50193063.39,12899617.29
1569715200,9/29/2019 0:00,XRP/USD,0.24228,0.24257,0.23458,0.24045,22065148.48,5305564.952
1569628800,9/28/2019 0:00,XRP/USD,0.243,0.245,0.2383,0.24216,22400203.8,5424433.353
1569542400,9/27/2019 0:00,XRP/USD,0.24228,0.24774,0.233,0.24281,47167616.46,11452768.95
1569456000,9/26/2019 0:00,XRP/USD,0.2458,0.24968,0.22831,0.24204,59767683.74,14466170.17
1569369600,9/25/2019 0:00,XRP/USD,0.23345,0.24984,0.2317,0.24625,59262505.05,14593391.87
1569283200,9/24/2019 0:00,XRP/USD,0.2674,0.27282,0.22,0.23365,109174566.8,25508637.53
1569196800,9/23/2019 0:00,XRP/USD,0.27619,0.28638,0.26587,0.2677,48098210.02,12875890.82
1569110400,9/22/2019 0:00,XRP/USD,0.28915,0.2893,0.26767,0.2764,42299092.6,11691469.19
1569024000,9/21/2019 0:00,XRP/USD,0.2939,0.29764,0.2862,0.28915,44630648.67,12904952.06
1568937600,9/20/2019 0:00,XRP/USD,0.30145,0.30225,0.28217,0.29359,44131034.55,12956430.43
1568851200,9/19/2019 0:00,XRP/USD,0.31326,0.31326,0.28198,0.30118,58178680.26,17522254.92
1568764800,9/18/2019 0:00,XRP/USD,0.28528,0.32668,0.28528,0.3135,58813802.24,18438127
1568678400,9/17/2019 0:00,XRP/USD,0.26107,0.299,0.25975,0.28558,60564306.1,17295954.54
1568592000,9/16/2019 0:00,XRP/USD,0.26021,0.26368,0.25663,0.26106,19232590.54,5020860.085
1568505600,9/15/2019 0:00,XRP/USD,0.26172,0.26456,0.25876,0.2604,10381590.98,2703366.29
1568419200,9/14/2019 0:00,XRP/USD,0.2559,0.2659,0.25417,0.2622,22387988.58,5870130.606
1568332800,9/13/2019 0:00,XRP/USD,0.25402,0.25666,0.25213,0.25588,23789788.38,6087331.05
1568246400,9/12/2019 0:00,XRP/USD,0.25537,0.25669,0.25047,0.2539,21151093,5370262.513
1568160000,9/11/2019 0:00,XRP/USD,0.25815,0.26114,0.25062,0.25502,16426125.2,4188990.448
1568073600,9/10/2019 0:00,XRP/USD,0.25846,0.2638,0.25298,0.25833,17248812.01,4455885.606
1567987200,9/9/2019 0:00,XRP/USD,0.26228,0.26483,0.25614,0.2586,16738347.22,4328536.592
1567900800,9/8/2019 0:00,XRP/USD,0.26024,0.2662,0.25611,0.2624,19504961.68,5118101.945
1567814400,9/7/2019 0:00,XRP/USD,0.25172,0.26351,0.25015,0.26018,21006831.51,5465557.421
1567728000,9/6/2019 0:00,XRP/USD,0.2563,0.25929,0.24706,0.25167,25991462.74,6541271.429
1567641600,9/5/2019 0:00,XRP/USD,0.2585,0.25931,0.25376,0.2565,17676134.58,4533928.52
1567555200,9/4/2019 0:00,XRP/USD,0.26221,0.26398,0.25636,0.25868,24983365.7,6462697.04
1567468800,9/3/2019 0:00,XRP/USD,0.26165,0.26711,0.258,0.26322,18630530.6,4903928.264
1567382400,9/2/2019 0:00,XRP/USD,0.25681,0.26532,0.25318,0.2615,20534405.89,5369747.141
1567296000,9/1/2019 0:00,XRP/USD,0.25793,0.25898,0.25047,0.25635,13069765.83,3350434.47
1567209600,8/31/2019 0:00,XRP/USD,0.25478,0.26058,0.25268,0.25827,11827329.25,3054644.324
1567123200,8/30/2019 0:00,XRP/USD,0.25654,0.25726,0.25216,0.25466,18201279.35,4635137.798
1567036800,8/29/2019 0:00,XRP/USD,0.25555,0.26227,0.24695,0.25696,32021276.76,8228187.275
1566950400,8/28/2019 0:00,XRP/USD,0.26893,0.26933,0.24559,0.25595,31502406.03,8063040.822
1566864000,8/27/2019 0:00,XRP/USD,0.27007,0.27011,0.26454,0.26929,13838294.81,3726514.41
